Ticker,Industry,Sub-Industry,Security Type,Within Range,PE Backed,VC Backed,Sh Out,Mkt Cap,EV,3m ADV ,3m ADV $ ,6m ADV ,6m ADV $,Beta,SI,SI Days,Net Leverage,Net Leverage %,Days until Earnings, EV/Sales 2019 , EV/Sales 2020 , EV/Sales 2021 , EV/Sales 2022 ,Revenue Growth 19-20 ,Revenue Growth 20-21 ,Revenue Growth 21-22 , EV/EBITDA 2019 , EV/EBITDA 2020 , EV/EBITDA 2021 , EV/EBITDA 2022 ,EBITDA Growth 19-20 ,EBITDA Growth 20-21 ,EBITDA Growth 21-22 ,EBITDA MARGIN % 2019,EBITDA MARGIN % 2020,EBITDA MARGIN % 2021,EBITDA MARGIN % 2022, P/E 2019 , P/E 2020 , P/E 2021 , P/E 2022 ,Deal Size,Market Cap At IPO,IPO to First Open,IPO to First Day,IPO to 1st Week,IPO to 1st Month,performance
STNG,Energy,Oil & Gas Storage & Transporta,Common,Below,No,No, 61.70 ," 1,023.22 "," 3,943.37 ", 2.89 , 50.34 ,2.08, 36.32 , 1.00 , 0.12 , 1.40 , 8.02 , 0.72 , 79.00 , 5.84 , 3.21 , 4.17 , 4.42 , 0.82 , (0.23), (0.06), 11.20 , 4.65 , 6.95 , 7.59 , 1.41 , (0.33), (0.09), 0.52 , 0.69 , 0.60 , 0.58 , (18.55), 2.22 , 5.69 , 6.69 , 168.40 , 72.66 , (0.02), (0.03), (0.04), (0.04),0.025770699494792385
PRI,Financials,Life & Health Insurance,Common,Above,Yes,No, 41.20 ," 4,086.98 "," 5,448.76 ", 0.33 , 33.43 ,0.25, 24.98 , 1.25 , 0.02 , 3.30 ,    , 0.25 , 86.00 , 2.68 , 2.58 , 2.46 ,  NA  , 0.04 , 0.05 , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 12.08 , 11.67 , 10.31 , 9.56 , 368.50 ," 1,125.00 ", 0.28 , 0.31 , 0.42 , 0.58 ,-0.08162655764729188
GBDC,Financials,Asset Management & Custody Ban,Common,Below,No,No, 136.70 ," 1,447.46 "," 3,560.45 ", 1.42 , 15.13 ,1.03, 11.00 , 0.66 , 0.04 , 4.80 ,    , 0.56 , 86.00 , 17.87 , 11.28 , 10.73 ,  NA  , 0.59 , 0.05 , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 8.39 , 9.61 , 10.41 ,  NA  , 107.40 , 256.83 , -   , 0.01 , 0.02 , -   ,-0.0146766652124648
CLDT,Real Estate,Hotel & Resort REITs,Common,Lower End,No,No, 46.90 , 238.10 , 853.31 , 0.55 , 2.81 ,0.39, 1.97 , 1.64 , 0.02 , 1.90 , 4.60 , 0.68 , 79.00 , 2.69 , 5.11 , 3.41 , 2.93 , (0.47), 0.50 , 0.16 , 6.74 , 23.28 , 9.47 , 7.54 , (0.71), 1.46 , 0.26 , 0.40 , 0.22 , 0.36 , 0.39 , 10.18 , (2.50), (9.57),  NA  , 172.50 , 161.53 , 0.01 , 0.03 , (0.01), (0.01),-0.005461151936134279
TCRD,Financials,Asset Management & Custody Ban,Common,Below,No,No, 29.80 , 101.66 , 270.80 , 0.34 , 0.97 ,0.23, 0.67 , 1.48 , 0.00 , 0.70 ,    , 0.63 , 86.00 , 5.15 , 8.07 , 8.00 ,  NA  , (0.36), 0.01 , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 3.31 , 55.38 , 5.41 ,  NA  , 203.40 , 257.29 , (0.02), (0.02), (0.02), (0.06),0.009858007865689355
AOSL,Information Technology,Semiconductors,Common,Mid-point,Yes,Yes, 24.90 , 263.82 , 434.92 , 0.16 , 1.71 ,0.14, 1.44 , 0.95 , 0.03 , 3.10 ,    , 0.04 , 86.00 , 1.02 , 0.98 , 0.83 ,  NA  , 0.05 , 0.18 , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 9.92 , 14.67 , 7.97 ,  NA  , 91.50 , 397.57 , 0.01 , (0.02), (0.15), (0.17),-0.043962648929257615
PLOW,Industrials,Construction Machinery & Heavy,Common,Lower End,Yes,No, 22.80 , 639.32 , 870.69 , 0.17 , 4.61 ,0.13, 3.53 , 0.90 , 0.01 , 3.30 , 2.14 , 0.26 , 84.00 , 1.55 , 1.88 , 1.66 ,  NA  , (0.18), 0.13 , NA , 8.19 , 12.52 , 9.13 ,  NA  , (0.35), 0.37 , NA , 0.19 , 0.15 , 0.18 , NA , 11.79 , 28.05 , 13.76 ,  NA  , 129.40 , 239.18 , -   , 0.00 , 0.01 , 0.04 ,-0.023693849582468673
EXPR,Consumer Discretionary,Apparel Retail,Common,Below,Yes,No, 64.00 , 103.13 ," 1,019.47 ", 1.60 , 2.57 ,1.75, 2.80 , 1.22 , 0.22 , 11.10 , 6.29 , 0.90 , 21.00 , 0.50 , 0.53 , 0.53 ,  NA  , (0.05), 0.00 , NA , 7.00 , 10.43 , 11.13 ,  NA  , (0.33), (0.06), NA , 0.07 , 0.05 , 0.05 , NA , (0.89), (1.69), (685.71), 15.32 , 272.00 ," 1,508.51 ", -   , (0.02), (0.13), (0.08),-0.012750401307334848
TNAV,Information Technology,Application Software,Common,Below,Yes,Yes, 47.90 , 215.63 , 116.15 , 0.38 , 1.73 ,0.41, 1.85 , 0.74 , 0.07 , 11.70 , 28.64 , (0.99), 86.00 , 0.41 , 0.44 ,  NA  ,  NA  , (0.06), NA , NA , (29.03), (20.21),  NA  ,  NA  , 0.44 , NA , NA , (0.01), (0.02), NA , NA , (12.66), (20.19),  NA  ,  NA  , 64.40 , 335.39 , 0.13 , 0.23 , 0.06 , 0.05 ,-0.3189034953243268
JKS,Information Technology,Semiconductors,ADR,Lower End,Yes,Yes, 44.40 , 661.89 ," 3,174.28 ", 1.47 , 21.96 ,1.3, 19.32 , 1.31 ,, 12.80 , 0.79 , 0.65 , 2.00 , 0.11 , 0.09 , 0.09 , 0.08 , 0.15 , 0.05 , 0.08 , 1.21 , 1.15 , 1.37 , 1.42 , 0.06 , (0.17), (0.04), 0.09 , 0.08 , 0.07 , 0.06 , 2.60 , 0.48 , 0.86 , 0.73 , 64.20 , 239.05 , -   , 0.00 , (0.18), (0.08),-0.10451783531950287
BSL,,,Common,Lower End,No,No,  #N/A Field Not Applicable  , 183.56 ,#VALUE!, 0.15 , 1.77 ,0.1, 1.25 ,    , -   , -   ,    ,, NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 302.60 ,  -  , -   , -   , 0.00 , 0.00 ,-0.02732954047802349
CBOE,Financials,Financial Exchanges & Data,Common,Higher End,No,No, 110.60 ," 10,894.13 "," 11,516.83 ", 1.16 , 114.75 ,0.92, 91.30 , 0.82 ,,  #N/A N/A  , 0.79 , 0.05 , 82.00 , 10.28 , 7.21 , 7.55 , 7.95 , 0.43 , (0.04), (0.05), 14.91 , 13.80 , 14.29 , 13.76 , 0.08 , (0.03), 0.04 , 0.69 , 0.52 , 0.53 , 0.58 , 20.99 , 19.12 , 19.38 , 18.32 , 390.20 ," 3,025.31 ", 0.13 , 0.12 , 0.13 , (0.09),-0.10117366655280158
OAS,Energy,Oil & Gas Exploration & Produc,Common,Mid-point,Yes,No, 315.40 , 136.00 ," 3,055.00 ", 34.51 , 14.50 ,23.46, 9.85 , 3.43 , 0.30 , 1.10 , 2.61 , 0.89 , 13.00 , 1.46 , 2.45 , 2.77 , 2.38 , (0.40), (0.12), 0.16 , 2.94 , 5.03 , 6.29 , 5.69 , (0.42), (0.20), 0.11 , 0.50 , 0.49 , 0.44 , 0.42 , 14.00 , (0.52), (0.47), (0.60), 676.20 ," 1,291.01 ", 0.06 , 0.06 , 0.05 , 0.16 ,0.004820281901737332
HPP,Real Estate,Office REITs,Common,Lower End,No,No, 158.10 ," 3,137.97 "," 6,610.00 ", 2.00 , 40.92 ,1.47, 29.99 , 1.38 , 0.02 , 1.30 , 6.89 , 0.46 , 79.00 , 8.16 , 8.01 , 7.81 , 7.25 , 0.02 , 0.03 , 0.08 , 15.11 , 14.77 , 14.03 , 13.20 , 0.02 , 0.05 , 0.06 , 0.54 , 0.54 , 0.56 , 0.55 , 35.72 , 38.99 , 33.45 , 56.08 , 250.20 , 422.08 , 0.03 , 0.02 , -   , (0.05),0.03279717708147056
CEM,,,Common,Lower End,No,No,  #N/A Field Not Applicable  , 221.10 ,#VALUE!, 0.99 , 3.09 ,0.75, 2.35 , 1.56 , 0.00 , 0.10 ,    ,, NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  ," 1,268.30 ",  -  , -   , 0.02 , 0.03 , 0.03 ,-0.01928488040602028
TSLA,Consumer Discretionary,Automobile Manufacturers,Common,Above,Yes,Yes, 199.00 ," 151,269.33 "," 161,096.33 ", 18.51 ," 15,094.03 ",17.03," 13,888.89 ", 1.12 , 0.12 , 1.20 , 2.97 , 0.05 , 72.00 , 6.50 , 6.05 , 4.21 , 3.27 , 0.08 , 0.44 , 0.29 , 56.83 , 44.48 , 26.84 , 20.05 , 0.28 , 0.66 , 0.34 , 0.11 , 0.14 , 0.16 , 0.16 ," (40,771.00)", 240.18 , 68.00 , 37.85 , 260.00 ," 1,616.77 ", 0.12 , 0.41 , (0.05), 0.20 ,-0.051211380983928745
ECT,Energy,Oil & Gas Exploration & Produc,Units,Mid-point,No,No, 17.60 , 11.27 , 10.50 , 0.06 , 0.04 ,0.07, 0.05 , 0.50 , 0.00 , 1.10 ,    , (0.07), 13.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 181.90 , 269.98 , -   , -   , 0.01 , (0.01),-0.014239214746972428
AMRC,Industrials,Construction & Engineering,Class A,Below,No,No, 48.50 , 871.44 ," 1,269.38 ", 0.27 , 5.01 ,0.21, 3.90 , 1.13 , 0.04 , 4.90 , 4.02 , 0.29 , 86.00 , 1.48 , 1.36 , 1.27 ,  NA  , 0.09 , 0.07 , NA , 14.05 , 11.81 , 11.40 ,  NA  , 0.19 , 0.04 , NA , 0.11 , 0.12 , 0.11 , NA , 22.07 , 20.13 , 18.00 ,  NA  , 90.40 ,  -  , 0.03 , 0.02 , 0.02 , 0.12 ,-0.09798652666694453
GDOT,Financials,Consumer Finance,Class A,Above,Yes,Yes, 52.70 ," 1,760.55 ", 487.89 , 0.96 , 31.98 ,1.05, 35.03 , 1.49 , 0.08 , 5.80 , (5.29), (62.28), 86.00 , 0.02 , 0.02 , 0.02 , 0.02 , 0.00 , 0.06 , 0.08 , 0.08 , 0.12 , 0.10 , 0.09 , (0.30), 0.26 , 0.09 , 0.23 , 0.16 , 0.19 , 0.19 , 11.91 , 20.90 , 15.99 , 13.03 , 188.70 ," 1,491.74 ", 0.20 , 0.22 , 0.19 , 0.28 ,0.08225668071642643
ENV,Information Technology,Application Software,Common,Lower End,Yes,Yes, 53.00 ," 3,422.20 "," 4,005.87 ", 0.46 , 29.39 ,0.42, 27.02 , 1.21 , 0.05 , 7.50 , 3.03 , 0.14 , 86.00 , 4.45 , 4.26 , 3.87 , 3.46 , 0.05 , 0.10 , 0.12 , 20.95 , 20.32 , 17.63 , 15.11 , 0.03 , 0.15 , 0.17 , 0.21 , 0.21 , 0.22 , 0.23 , 29.74 , 32.06 , 27.15 , 24.07 , 72.50 , 283.51 , 0.04 , 0.14 , 0.11 , 0.11 ,-0.08671560524840505
NXPI,Information Technology,Semiconductors,Common,Below,Yes,Yes, 279.90 ," 26,552.96 "," 33,324.96 ", 3.97 , 377.75 ,3.26, 310.63 , 1.27 , 0.02 , 1.30 , 2.12 , 0.20 , 77.00 , 3.75 , 4.27 , 3.75 , 3.33 , (0.12), 0.14 , 0.13 , 10.74 , 14.17 , 10.71 , 9.04 , (0.24), 0.32 , 0.19 , 0.35 , 0.30 , 0.35 , 0.37 , 12.60 , 19.59 , 13.52 , 10.37 , 476.00 ," 3,489.51 ", (0.07), -   , (0.14), (0.15),0.012168013328325957
MMYT,Consumer Discretionary,Internet & Direct Marketing Re,Common,Higher End,Yes,No, 105.30 ," 1,343.39 "," 1,032.17 ", 0.57 , 7.38 ,0.42, 5.53 , 0.91 , 0.08 , 7.80 , 6.79 , (0.27), 2.00 , 1.54 , 2.63 , 1.59 ,  NA  , (0.42), 0.65 , NA , (25.15), (12.30), (22.27),  NA  , 1.04 , (0.45), NA , (0.06), (0.21), (0.07), NA , (15.91), (21.75), (474.55),  NA  , 80.50 ,  -  , 0.57 , 0.89 , 1.18 , 1.62 ,0.13807697223092566
RP,Information Technology,Application Software,Common,Below,Yes,No, 95.90 ," 6,282.31 "," 7,363.85 ", 0.90 , 58.99 ,0.74, 48.24 , 0.74 , 0.07 , 7.20 , 3.84 , 0.15 , 79.00 , 7.46 , 6.49 , 5.81 , 5.30 , 0.15 , 0.12 , 0.10 , 26.18 , 24.91 , 21.00 , 17.63 , 0.05 , 0.19 , 0.19 , 0.29 , 0.26 , 0.28 , 0.30 , 37.10 , 36.52 , 30.41 , 24.80 , 155.60 , 685.36 , 0.18 , 0.32 , 0.55 , 0.50 ,-0.01908007890070174
WSR,Real Estate,Retail REITs,Class B,Below,No,No, 43.00 , 212.79 , 849.74 , 0.45 , 2.28 ,0.33, 1.67 , 1.29 , 0.03 , 3.80 , 10.26 , 0.73 , 79.00 , 7.20 , 6.82 , 6.61 ,  NA  , 0.06 , 0.03 , NA , 14.01 , 14.40 , 12.46 ,  NA  , (0.03), 0.16 , NA , 0.51 , 0.47 , 0.53 , NA , 9.33 , (48.10), 22.95 ,  NA  , 26.40 , 68.24 , -   , (0.04), (0.03), (0.01),0.06877740740172644
SFUN,Communication Services,Interactive Media & Services,ADR,Higher End,Yes,No, 89.70 , 90.64 , 555.64 , 0.10 , 0.10 ,0.17, 0.17 , (0.32),, 12.10 ,    , 0.95 , 2.00 ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA ,  NA  ,  NA  ,  NA  ,  NA  , 143.40 ,  -  , 0.58 , 0.73 , 0.64 , 0.77 ,0.21223401204160666
COR,Real Estate,Specialized REITs,Common,Mid-point,Yes,No, 37.50 ," 5,931.29 "," 7,594.09 ", 0.49 , 59.18 ,0.4, 49.26 , 0.77 , 0.03 , 4.20 , 5.40 , 0.22 , 72.00 , 13.43 , 12.71 , 11.73 , 10.82 , 0.06 , 0.08 , 0.08 , 24.96 , 24.31 , 22.33 , 20.26 , 0.03 , 0.09 , 0.10 , 0.54 , 0.52 , 0.53 , 0.53 , 59.36 , 48.30 , 49.15 , 50.46 , 311.00 ,  -  , -   , 0.00 , 0.02 , (0.06),-0.018956777201825536
AMRS,Materials,Specialty Chemicals,Common,Below,Yes,Yes, 155.10 , 556.83 , 696.72 , 2.24 , 7.63 ,1.87, 6.40 , 1.14 , 0.25 , 18.10 , (1.19), 0.18 , 93.00 , 13.03 , 3.16 , 2.13 , 1.49 , 3.12 , 0.49 , 0.43 , (6.66), 383.33 , 11.73 , 4.79 , (1.02), 31.68 , 1.45 , (1.96), 0.01 , 0.18 , 0.31 , (2.04), (12.89), 34.15 , 6.83 , 97.50 , 659.65 , 0.03 , 0.03 , 0.10 , 0.07 ,0.014919374504569703
DQ,Information Technology,Semiconductor Equipment,ADR,Below,Yes,No, 13.80 , 724.58 ," 1,054.72 ", 0.27 , 14.28 ,0.25, 13.23 , 1.24 ,, 3.70 , 3.46 , 0.31 , 7.00 , 3.01 , 1.62 , 1.46 , 1.33 , 0.86 , 0.12 , 0.09 , 11.07 , 4.55 , 3.82 , 3.35 , 1.43 , 0.19 , 0.14 , 0.27 , 0.36 , 0.38 , 0.40 , 15.38 , 5.72 , 5.25 , 4.42 , 87.40 ," 1,623.68 ", 0.05 , 0.08 , 0.47 , 0.45 ,0.4427121359508224
EFC,Financials,Mortgage REITs,Common,Mid-point,No,No, 42.60 , 386.14 ," 1,209.03 ", 1.31 , 11.56 ,0.95, 8.34 , 1.20 , 0.03 , 2.10 ,    , 0.56 , 84.00 , 14.41 , 13.63 , 14.50 ,  NA  , 0.06 , (0.06), NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 6.10 , 12.78 , 6.92 , 4.98 , 101.30 , 370.94 , (0.04), (0.03), (0.01), (0.03),0.06102048058372533
VRA,Consumer Discretionary,"Apparel, Accessories & Luxury",Common,Higher End,No,No, 34.10 , 138.55 , 244.82 , 0.31 , 1.29 ,0.29, 1.21 , 1.09 , 0.07 , 9.40 , 1.35 , 0.31 , 21.00 , 0.51 , 0.50 , 0.44 , 0.44 , 0.02 , 0.13 , 0.00 , 4.33 , 6.11 , 4.07 ,  NA  , (0.29), 0.50 , NA , 0.12 , 0.08 , 0.11 , NA , 5.86 , 8.30 , 4.48 , 4.47 , 202.40 , 674.51 , 0.44 , 0.55 , 0.74 , 0.81 ,0.16142859235561047
PACB,Health Care,Life Sciences Tools & Services,Common,Mid-point,Yes,Yes, 155.90 , 535.39 , 547.96 , 2.26 , 7.86 ,2.18, 7.58 , 1.15 , 0.13 , 17.70 , (0.12), 0.02 , 85.00 , 5.89 , 6.01 , 3.69 , 3.37 , (0.02), 0.63 , 0.10 , (5.31), (4.99), (5.00), (10.05), 0.06 , (0.00), (0.50), (1.11), (1.20), (0.74), (0.34), (6.32), (5.93), (5.95), (8.08), 230.00 , 831.82 , 0.03 , 0.03 , (0.09), (0.28),0.35781323791398845
HRZN,Financials,Asset Management & Custody Ban,Common,Below,No,No, 16.70 , 160.47 , 306.05 , 0.29 , 2.76 ,0.23, 2.19 , 1.29 , 0.01 , 1.60 ,    , 0.48 , 78.00 , 7.02 , 6.82 , 6.46 ,  NA  , 0.03 , 0.06 , NA ,  NA  ,  NA  ,  NA  ,  NA  , NA , NA , NA , NA , NA , NA , NA , 6.26 , 8.26 , 7.69 ,  NA  , 100.00 , 120.88 , -   , (0.03), (0.07), (0.08),0.012519059611961758
CMRE,Industrials,Marine,Common,Below,No,No, 119.50 , 494.70 ," 2,264.86 ", 0.87 , 3.61 ,0.92, 3.78 , 0.91 , 0.06 , 2.80 , 4.45 , 0.76 , 72.00 , 3.88 , 3.68 , 3.36 , 3.71 , 0.05 , 0.10 , (0.09), 5.86 , 5.38 , 4.72 , 4.35 , 0.09 , 0.14 , 0.09 , 0.66 , 0.69 , 0.71 , 0.85 , 4.54 , 4.12 , 3.32 , 2.42 , 159.60 , 723.60 , -   , (0.01), (0.10), (0.00),0.090508817948302
NOAH,Financials,Asset Management & Custody Ban,ADR,Above,Yes,No, 61.90 ," 1,610.82 "," 1,061.85 ", 0.42 , 11.05 ,0.33, 8.70 , 0.81 ,, 16.20 , (0.76), (0.63), 5.00 , 0.31 , 0.33 , 0.29 , 0.26 , (0.05), 0.13 , 0.14 , 1.19 , 1.49 , 1.15 , 0.86 , (0.20), 0.29 , 0.34 , 0.26 , 0.22 , 0.25 , 0.30 , 1.95 , 1.86 , 1.50 , 1.27 , 115.90 ,  -  , 0.25 , 0.33 , 0.38 , 0.43 ,0.046372966478329225
IPHI,Information Technology,Semiconductors,Common,Higher End,No,No, 46.00 ," 5,368.72 "," 5,465.67 ", 1.21 , 134.94 ,0.98, 109.58 , 1.06 , 0.10 , 3.30 , 0.65 , 0.02 , 78.00 , 15.48 , 9.33 , 8.01 , 6.81 , 0.66 , 0.17 , 0.18 , 37.99 , 27.39 , 20.58 , 18.68 , 0.39 , 0.33 , 0.10 , 0.41 , 0.34 , 0.39 , 0.36 , 69.16 , 41.87 , 31.92 , 27.51 , 93.80 , 300.83 , 0.25 , 0.28 , 0.35 , 0.62 ,0.7967850273812711
BAH,Information Technology,IT Consulting & Other Services,Class A,Lower End,Yes,No, 141.60 ," 9,966.45 "," 11,442.23 ", 1.49 , 105.89 ,1.34, 95.54 , 0.68 , 0.02 , 3.60 , 2.01 , 0.13 , 13.00 , 1.61 , 1.53 , 1.42 , 1.31 , 0.05 , 0.07 , 0.09 , 15.90 , 15.90 , 13.85 , 12.70 , -   , 0.15 , 0.09 , 0.10 , 0.10 , 0.10 , 0.10 , 23.08 , 22.21 , 20.06 , 17.41 , 273.70 ," 2,086.27 ", 0.02 , 0.13 , 0.18 , 0.12 ,0.2012326990040896
BITA,Communication Services,Interactive Media & Services,ADR,Higher End,Yes,Yes, 71.40 , 771.44 ," 4,516.01 ", 0.35 , 3.84 ,0.36, 3.89 , 0.50 ,, 27.40 , 3.07 , 0.52 , 16.00 , 0.42 , 0.48 , 0.44 , 0.48 , (0.13), 0.10 , (0.08), 5.92 , 4.14 , 3.18 ,  NA  , 0.43 , 0.30 , NA , 0.07 , 0.12 , 0.14 , NA , (3.45), (2.54), 3.53 , 2.58 , 127.20 , 495.04 , -   , 0.04 , 0.13 , (0.30),0.10438650622469314
